# chinese,pinyin,english and descriptions
拿,na2,hold/take/get/seize/catch/apprehend (c. 拿出来/加拿大)
美,mei3,beautiful (adj)/beautify (verb)
英,ying1,hero/brave (c. 英明/英国)
英明,ying1 ming2,wise/brilliant
国,guo2,country/kingdom
中国,zhong1 guo2,china country
韩国,han2 guo2,korea country
美国,mei3 guo2,usa/america country
英国,ying1 guo2,uk/britain country
加拿大,jia1 na2 da4,canada country
人,ren2,person/people [亻]
大人,da4 ren2,adults
男人,nan2 ren2,man/men
女人,nv3 ren2,woman/women
语,yu3,language/dialect
文,wen2,language/arts/culture
中文,zhong1 wen2,chinese language
汉,han4,han ethnic group/han dynasty (c. 汉语)
汉语,han4 yu3,chinese language
韩文,han2 wen2,korean language (alt 韩语)
英语,ying1 yu3,english language (alt 英文)
认,ren4,recognize/know (c. 认识/认真)
识,shi2,know/knowledge (c. 认识)
认识,ren4 shi2:,know personally/recognize a noun/meet/acquainted with
知,zhi1,know/aware (c. 知道/通知)
道,dao4,road/principle/truth (c. 知道/难道)
知道,zhi1 dao4,know about/aware of
我知道了,wo3 zhi1 dao4 le,i know/i see (response to newly-learned info)
忙,mang2,busy/rush
对,dui4,right or correct (response)/fit or suit (verb)
都,dou1,all/both/entirely (adv)
老,lao3,old/experienced/venerable (person) [耂]
师,shi1,teacher/expert/master (c. 老师/师父)
老师,lao3 shi1,teacher (in a school)
医,yi1,medical/medicine (c. 医生)
生,sheng1,raw or immature (adj)/life (noun) (c. 医生/学生)
医生,yi1 sheng1,doctor/dr.
中医,zhong1 yi1,chinese medicine (specialty/discipline)
西医,xi1 yi1,western medicine (specialty/discipline)
学生,xue2 sheng1,student
怎,zen3,how
怎么,zen3 me,how to?
样,yang4,manner/way/appearance
怎么样,zen3 me yang4,how?/how was it?/how are things?/how about? (follow up with suggestion)
早上好,zao3 shang4 hao3,good morning
安,an1,content/calm/secure/safe
早安,zao3 an1,good morning
下午好,xia4 wu3:2 hao3,good afternoon
晚上好,wan3 shang4 hao3,good night/good evening
晚安,wan3 an1,good night/good evening
香,xiang1,fragrant/sweet smelling/sleep soundly (c. 香港/香蕉)
睡得很香,shui4 de hen3 xiang1,sleep soundly
港,gang3,port/harbor (c. 香港)
香港,xiang1 gang3,hong kong
纽,niu3,turn/wrench (c. 纽约)
约,yue1,make appointment/invite (c. 纽约/约会)
纽约,niu3 yue1,new york
台,tai2,mw for machines used on a flat surface (eg computers phones) (c. 台湾)
湾,wan1,bay or gulf (noun)/cast anchor or moor a boat (verb) (c. 台湾)
台湾,tai2 wan1,taiwan
伦敦,lun2 dun1,london
京,jing1,capital city/beijing (in context) [亠]
北京,bei3 jing1,beijing/north capital
南京,nan2 jing1,nanjing/south capital
家,jia1,house/home/mw for family-run businesses
家人,jia1 ren2,family/family member (can use with 和/跟)
庭,ting2,main hall/front courtyard/law court (c. 家庭/法庭)
家庭,jia1 ting2,family/household (whole entity & cannot use 和/跟)
住,zhu4,lives/dwells/resides
在,zai4,located at/to be in/actively doing (before verb is -ing) (neg. 不 or 没)
住在,zhu4 zai4,lives in/dwells in
里,li3,inside/internal (modifier)
外,wai4,outside/external (modifier)
哪,na3,which?
哪儿,na3 r,where? (northern)
哪里,na3:2 li3,where? (southern)
那,na4,that/then (filler word)
那个,na4 ge4,that one
那两个,na4 liang3 ge4,those two
那儿,na4 r,there/over there (northern)
那里,na4 li3,there/over there (southern)
这,zhe4,this
这个,zhe4 ge4,this one
这两个,zhe4 liang3 ge4,these two
这儿,zhe4 r,here/over here (northern)
这里,zhe4 li3,here/over here (southern)
谁,shui2,who?/whom? (pr. shei2)
谁的,shui2 de,whose?
有,you3,has/have/possess
没,mei2,negation for 有/negation for verb+着|了|过
没有,mei2 you3,not have (negate past actions)/not as much as (n1-没有-n2-adj)
她有没有,ta1 you3 mei2 you3,does she have? (pattern for yn?)
关系,guan1 xi4:,relationship (noun)/affect or concern (verb)
没关系,mei2 guan1 xi4:,it doesn't matter/no problem/no worries
爱,ai4,love/be fond of
爱上,ai4 shang4,fall in love with
妈妈,ma1 ma1:,mom (informal)
爸爸,ba4 ba4:,dad (informal)
男,nan2,male
女,nv3,female
女儿,nv3 er2,daughter
子,zi3,offspring/seed of/noun suffix
儿子,er2 zi,son
大儿子,da4 er2 zi,older son
大女儿,da4 nv3 er2,older daughter
小儿子,xiao3 er2 zi,younger son
小女儿,xiao3:2 nv3 er2,younger daughter
孩子,hai2 zi,child/children (c. 小孩)
小孩,xiao3 hai2,child/children (alt. 孩子)
男孩,nan2 hai2,boy/boys
女孩,nv3 hai2,girl/girls
丈,zhang4,husband (c. 丈夫)/to measure (verb) 
夫,fu1,husband/manual worker (c. 丈夫/功夫)
丈夫,zhang4 fu1:,husband
妻子,qi1 zi,wife
姐姐,jie3 jie3:,older sister/big sister
哥哥,ge1 ge1:,older brother/big brother
妹妹,mei4 mei4:,younger sister/little sister
弟弟,di4 di4:,younger brother/little brother
朋,peng2,friend (c. 朋友)
友,you3,friend (c. 朋友)
朋友,peng2 you3:,friend
男朋友,nan2 peng2 you3,boyfriend
女朋友,nv3 peng2 you3,girlfriend
猫,mao1,cat
狗,gou3,dog
漂,piao4,elegant/polished (c. 漂亮)
亮,liang4,bright/clear/resonant (c. 漂亮)
漂亮,piao4 liang4,beautiful/pretty
非,fei1,not/wrong/incorrect (c. 非常)
常,chang2,regular/often/frequently (c. 非常)
非常,fei1 chang2,very/extraordinary
可爱,ke3 ai4,cute/adorable/lovely
洗,xi3,wash/bathe
手,shou3,hand [扌]
间,jian1 :: jian4,between or among (adv)/room (mw) :: gap/separate/thin out
洗手间,xi3:2 shou3 jian1,bathroom/restroom
院,yuan4,yard/courtyard/institution (c. 院子/医院)
院子,yuan4 zi,backyard/courtyard
医院,yi1 yuan4,hospital
馆,guan3,shop/building
饭馆,fan4 guan3,restaurant (northern)
厅,ting1,hall/office/living room (c. 餐厅)
餐厅,can1 ting1,restaurant
校,xiao4,school (c. 学校)
学,xue2,learn/study
学校,xue2 xiao4,school
从,cong2,from a place/from a time (before noun and before 到)
到,dao4,to a place/until a time (before noun and after 从)/arrive
从，到,cong2 : dao4,from ... to a place/from ... until a time
张同学从公园到大学走路,zhang1 tong2 xue2 cong2 gong1 yuan2 dao4 da4 xue2 zou3 lu4,classmate zhang walks from the park to the college
他从两点到四点半喝啤酒,ta1 cong2 liang3:2 dian3 dao4 si4 dian3 ban4 he1 pi2 jiu3,he drinks beer from 2:00 to 4:30
往,wang3,towards a place (往+direction+verb)
走,zou3,walk/go (describes ongoing motion)
怎么走,zen3 me zou3,how to get?/how to go? (to a place)
路,lu4,road/the way (c. 走路)
左,zuo3,left direction
右,you4,right direction
边,bian1,boundary/side/edge (cardinal or relative)
旁,pang2,beside/one side
前面,qian2 mian4,ahead/front side
后面,hou4 mian4,behind/back side
左边,zuo3 bian1:,left side
右边,you4 bian1:,right side
旁边,pang2 bian1,lateral/generic side
里面,li3 mian4,inside/interior
外面,wai4 mian4,outside/exterior
喜,xi3,be fond of/like/enjoy (c. 喜欢/恭喜)
欢,huan1,joyous/happy/pleased (c. 喜欢/欢迎)
喜欢,xi3 huan1,like/enjoy
看,kan4,look at/watch/read without focus
看见,kan4 jian4,see/catch sight of (generic)
看到,kan4 dao4,to see with the result being achieved (complement)
书,shu1,book/letter/document
听,ting1,listen/hear
音,yin1,sound/noise (c. 音乐)
乐,le4 :: yue4,cheerful/laugh (c. 快乐/乐趣) :: music (c. 音乐)
音乐,yin1 yue4,music/musical sound
脑,nao3,brain/mind (c. 电脑)
电脑,dian4 nao3,computer
玩,wan2,play/have fun (c. 游玩)
好玩,hao3 wan2,amusing/fun/interesting (adj)
游玩,you2 wan2,amuse oneself/have fun
游,you2,tour/travel/swim (c. 游戏)
戏,xi4,drama/performance (c. 游戏)
游戏,you2 xi4,game
电脑游戏,dian4 nao3 you2 xi4,computer game
跳,tiao4,jump/hop/bounce (c. 跳舞)
舞,wu3,dance/wield/brandish (c. 跳舞)
跳舞,tiao4 wu3,dance
唱,chang4,sing/call (c. 唱歌)
歌,ge1,song (c. 唱歌)
唱歌,chang4 ge1,sing/call
床,chuang2,bed (c. 起床)
起床,qi3 chuang2,arise from bed/wake up/get up/get out of bed
班,ban1,work shift/team/class
睡,shui4,sleep/lie down (c. 睡觉)
觉,jue2 :: jiao4,feel/think (verb) :: sleep/nap (noun) (c. 睡觉/觉得)
睡觉,shui4 jiao4,sleep/go to bed
回,hui2,return/go back/turn around
