# chinese,pinyin,english and descriptions
麻,ma2,feel numb/hemp/flax (c. 麻将)
将,jiang4,command or lead (verb)/commander (noun) (c. 麻将)
麻将,ma2 jiang4,mahjong (chinese game with tiles)
为了,wei4 le,in order to/for the purpose of/so as to
或,huo4,maybe/perhaps/might (c. 或者)
者,zhe3,one who is (after verb or adj)/person involved in (after noun) (c. 或者/志愿者)
或者,huo4 zhe3,or/possibly/perhaps (not a question)
他明天看电视或者读历史书,ta1 ming2 tian1 kan4 dian4 shi4 huo4 zhe3 du2 li4 shi3 shu1,he will watch tv or read a history book tomorrow
爬,pa2,climb/crawl (c. 爬山)
山,shan1,mountain/hill (c. 爬山)
爬山,pa2 shan1,hiking/mountain climbing (sim. 登山)
登山,deng1 shan1,mountain climbing/mountaineering (sim. 爬山)
趣,qu4,interest/interesting (c. 兴趣/有趣/乐趣)
兴趣,xing4 qu4,interest in/desire to know about
乐趣,le4 qu4,delight/pleasure/joy
对，感兴趣,dui4 : gan3 xing4 qu4,be interested in ... (neg. 不感兴趣)
对，有兴趣,dui4 : you3 xing4 qu4,have interest in ... (neg. 没有兴趣)
我们都对中文感兴趣,wo3 men dou1 dui4 zhong1 wen2 gan3 xing4 qu4,we are all interested in chinese
你对普通话不感兴趣,ni3 dui4 pu3 tong1 hua4 bu4 gan3 xing4 qu4,you are not interested in mandarin
他对德语和法语有兴趣,ta1 dui4 de2 yu3 he2 fa3:2 yu3 you3 xing4 qu4,he has interest in german and french
她对英文没有兴趣,ta1 dui4 ying1 wen2 mei2 you3 xing4 qu4,she does not have interest in english/she has no interest in english
五十多,wu3 shi2 duo1,more than 50/more than fifty (before mw & cannot split less than 10)
斤,jin1,chinese weight of about 500 grams (c. 公斤)
公斤,gong1 jin1,kilogram/kg weight
公克,gong1 ke4,gram/g weight
公里,gong1 li3,kilometer/km length
急,ji2,urgent/pressing/hurried (c. 着急)
着急,zhao2 ji2,be anxious/feel sense of urgency
闷,men1 :: men4,smother/cover tightly (verb) :: bored/depressed/sealed/airtight (adj)
腿,tui3,legs
顾,gu4,attend to/look after (c. 照顾/顾客)
咳,ke2,cough (noun) (c. 咳嗽)
嗽,sou4,cough (verb) (c. 咳嗽)
咳嗽,ke2 sou4:,cough (verb)
照顾,zhao4 gu4:,take care of/attend to/look after
银,yin2,silver/relating to money (c. 银行)
银行,yin2 hang2,money bank
转,zhuan3,turn/change direction/transfer (c. 转机)
际,ji4,border/edge/boundary (c. 国际)
国际,guo2 ji4,international (adj)
内,nei4,inside/inner/internal (c. 国内)
国内,guo2 nei4,domestic (adj)
柜,gui4,cupboard/cabinet (c. 柜台/书柜)
柜台,gui4 tai2,front desk/sales counter
转机,zhuan3 ji1,change airplanes/connect flights
充,chong1,fill/supply/fulfill/satisfy (c. 充电/充值)
充电,chong1 dian4,recharge a battery
值,zhi2,value/to be worth (c. 充值/值得)
充值,chong1 zhi2,add money to a card/recharge card
漫游,man4 you2,roam/cell phone roaming
电话卡,dian4 hua4 ka3,telephone card/calling card
导,dao3,transmit/guide/direct (c. 导游)
导游,dao3 you2,travel guide/guidebook
订房,ding4 fang2,reserve a room (hotel)
退房,tui4 fang4,check out of a room (hotel)
取,qu3,take/choose/fetch (c. 取消)
消,xiao1,disappear/vanish/spend time (c. 取消)
取消,qu3 xiao1,cancel/cancellation
句子,ju4 zi,sentence
简,jian3,simple/uncomplicated (c. 简单/简体)
简单,jian3 dan1,simple/uncomplicated
答,da2,answer/reply/respond (c. 回答/解答)
回答,hui2 da2,answer/reply/respond (usually face to face)
流,liu2,flow/disseminate/circulate (c. 流利/流行)
流利,liu2 li4,fluent
语法,yu3:2 fa3,grammar
名词,ming2 ci2,grammar noun
动词,dong4 ci2,grammar verb
主语,zhu3:2 yu3,grammar subject
宾语,bin1 yu3,grammar object
形容词,xing2 rong2 ci2,grammar adjective
副,fu4,secondary/auxiliary/deputy (c. 副词/副业)
副词,fu4 ci2,grammar adverb
语境,yu3 jing4,context grammar
应用,ying4 yong4,put to use or apply (verb)/computer app (noun)
词,ci2,word/statement/lyric (c. 词典/词语)
词语,ci2 yu3,word/term/expression
词汇,ci2 hui4,vocabulary/list of words for teaching
典,dian3,quotation/canon (c. 词典)
词典,ci2 dian3,dictionary
载,zai3,record in writing/publish in newspaper (c. 上载/下载)
上载,shang4 zai3,upload
下载,xia4 zai3,download
翻,fan1,overturn/flip over/decode (c. 翻译)
译,yi4,translate/interpret (c. 翻译)
翻译,fan1 yi4,translate (verb)/translation or translator (noun)
调,diao4 :: tiao2,musical key/mode/tone/tune/melody (c. 音调) :: blend/adjust/regulate (c. 空调)
音调,yin1 diao4,tone/pitch
空调,kong1 tiao2,air conditioner/ac
把,ba3,disposal of object to focus on result/object prefix particle (subj-把-obj-verb)/mw for objects with handles
我的狗把作业吃了,wo3 de gou3:2 ba3 zuo4 ye4 chi1 le,my dog ate the homework
她把考试完成了,ta1 ba3:2 kao3 shi4 wan2 cheng2 le,she finished the exam
灯,deng1,light/lamp/lantern
画,hua4,painting or picture (noun)/draw picture (verb)
厨,chu2,kitchen (c. 厨房)
厨房,chu2 fang2,kitchen
客厅,ke4 ting1,living room/drawing room
客人,ke4 ren2,guest/visitor/customer/client
扫,sao3 :: sao4,sweep up (c. 打扫/扫除) :: broom
打扫,da3:2 sao3,clean up (verb)
扫除,sao3 chu2,sweep away/clean with a brush
净,jing4,clean (adj) (c. 干净)
干净,gan1 jing4,clean/neat/tidy (adj)
打扫干净,da3:2 sao3 gan1 jing4,clean until complete
梯,ti1,stairs/ladder (c. 电梯)
电梯,dian4 ti1,elevator/escalator
楼梯,lou2 ti1,stairs/staircase
厕,ce4,toilet/lavatory (c. 厕所/厕纸)
厕所,ce4 suo3,toilet/lavatory
坏,huai4,bad or spoiled or broken (adj & opp of 好)/to break down (verb)
被,bei4,by/passive voice (obj-被-subj-verb) (c. 被告)
两间厨房被你奶奶打扫干净,liang3 jian1 chu2 fang2 bei4 ni3:2 nai3 nai3: da3:2 sao3 gan1 jing4,two kitchens were cleaned by your grandmother
灯被一只猫关了,deng1 bei4 yi1:4 zhi1 mao1 guan1 le,the light was turned off by a cat
别为那个生气,bie2 wei4 na4 ge4 sheng1 qi4,do not be angry about that
寒,han2,cold/poor (c. 寒假)
寒假,han2 jia4,winter vacation (time ref)
暑,shu3,heat/hot weather (c. 暑假)
暑假,shu3 jia4,summer vacation (time ref)
复,fu4,resume/restore/recover (c. 复习/复印)
复习,fu4 xi2,review or revise (verb)/revision (noun)
复印,fu4 yin4,photocopy/duplicate a document
数,shu3 :: shu4,count or enumerate (verb) :: number or figure (c. 数学)
数学,shu4 xue2,mathematics
放假,fang4 jia4,take vacation or take time off (verb)/vacation or time off (noun)
记得,ji4 de,remember
于,yu2,to/with regard to (c. 终于/关于/对于)
终,zhong1,end/finish (c. 终于)
束,shu4,bunches/bundles/bouquets (mw) (c. 结束)
终于,zhong1 yu2,finally/at last
对于,dui4 yu2,regarding/with regard to
结束,jie2 shu4,finish/conclude (standalone verb)
担,dan1,undertake/take responsibility for (c. 担心)
担心,dan1 xin1,worried/uneasy
绩,ji4,merit/accomplishment (c. 成绩)
成绩,cheng2 ji4,performance record/school grades
专,zhuan1,for a particular reason/focused on one thing (c. 专业)
专业,zhuan1 ye4,specialty/main area of study
副业,fu4 ye4,second job/side gig
大学专业,da4 xue2 zhuan1 ye4,college major/university major
我为你父母的健康担心,wo3 wei4 ni3 fu4 mu3 de jian4 kang1 dan1 xin1,i am worried about your parents' health
她为他的新汽车害怕,ta1 wei4 ta1 de xin1 qi4 che1 hai4 pa4,she is scared for his new car
我跟我女朋友不是在网上认识的,wo3 gen1 wo3 nv3 peng2 you3: bu4:2 shi4 zai4 wang3 shang4 ren4 shi2: de,i did not meet my girlfriend online/it was not online that i met my girlfriend
虽然我饿了，但是我不能吃饭,sui1 ran2 wo3 e4 le : dan4 shi4 wo3 bu4 neng2 chi1 fan4,although i am hungry i cannot eat/i am hungry but i cannot eat
如果您有点累，就去睡觉,ru2 guo3 nin2 you3:2 dian3 lei4 : jiu4 qu4 shui4 jiao4,if you are a bit tired then go to sleep/go to sleep if you are a bit tired
一，就,yi1 : jiu4,as soon as ... (yi1 tone changes still apply)
他一开始开车，就很放心,ta1 yi1:4 kai1 shi3 kai1 che1 : jiu4 hen3 fang4 xin1,as soon as he started driving he was relieved/he was relieved as soon as he started driving
我跟你不一样,wo3 gen1 ni3 bu4 yi1:2 yang4,i am not like you/i am not the same as you
有多远,you3 duo1 yuan3,how far away? (alt. 多远)
多远,duo1 yuan3,how far away? (alt. 有多远)
银行离国内机场有多远,yin2 hang2 li2 guo2 nei4 ji1 chang3 you3 duo1 yuan3,how far is the bank from the domestic airport?
不但最近的超市很热，而且很脏,bu4:2 dan4 zui4 jin4 de chao1 shi4 hen3 re4 : er2 qie3 hen3 zang1,not only is the nearest supermarket hot but also dirty
连，都,lian2 : dou1,even (subject) all (+verb) (alt. 连，也)
连，也,lian2 : ye3,even (subject) also (+verb) (alt. 连，都)
吃饭的时间,chi1 fan4 de shi2 jian1,meal time/time to eat
吃饭的时候,chi1 fan4 de shi2 hou4,while eating
我太忙了，连吃饭的时间都没有,wo3 tai4 mang2 le : lian2 chi1 fan4 de shi2 jian1 dou1 mei2 you3,i am so busy that i do not even have time to eat
不是，就是,bu4:2 shi4 : jiu4 shi4,if it is not ... then it is
她不是在办公室，就是在食堂,ta1 bu4:2 shi4 zai4 ban4 gong1 shi4 : jiu4 shi4 zai4 shi2 tang2,if she is not in the office she is in the cafeteria/she is either in the office or in the cafeteria
从，起,cong2 : qi3,starting from (a certain time) ...
从现在起，我要努力练习,cong2 xian4 zai4 qi3 : wo3 yao4 nu3 li4 lian4 xi2,starting now i will practice hard/i will practice hard from now on
只有，才,zhi3:2 you3 : cai2,only if ... then
只有您下载应用，我才送钱给你,zhi3:2 you3 nin2 xia4 zai3 ying4 yong4 : wo3 cai2 song4 qian2 gei3:2 ni3,i will give you money only if you download the app
既,ji4,already/since/both (c. 既然)
既然,ji4 ran2,since/as/this being the case
既然，就,ji4 ran2 : jiu4,since ... then (swap 就/也/那)
既然你不能来，就为什么不早说,ji4 ran2 ni3 bu4 neng2 lai2 : jiu4 wei4 shen2 me bu4 zao3 shuo1,since you cannot come why did you not tell me earlier?
没电,mei2 dian4,discharged/out of battery/dead battery
没有，那么,mei2 you3 : na4 me,n1 is not as +adj as n2 (n1-没有-n2-那么-adj) (swap 那么/这么)
今天的天气没有昨天的天气那么好,jin1 tian1 de tian1 qi4 mei2 you3 zuo2 tian1 de tian1 qi4 na4 me hao3,the weather today is not as good as the weather yesterday 
你没有我瘦,ni3 mei2 you3:2 wo3 shou4,you are not as thin as i am (alt. 没有，那么/这么)
放下,fang4 xia4,put down/let go of/relinquish
我首先吃晚餐，再跟你喝红酒,wo3:2 shou3 xian1 chi1 wan3 can1 : zai4 gen1 ni3 he1 hong2 jiu3,first i eat dinner then drink red wine with you
你们首先问问题，然后我回答，最后我们都回家,ni3 men shou3 xian1 wen4 wen4 ti2 : ran2 hou4 wo3 hui2 da2 : zui4 hou4 wo3 men dou1 hui2 jia1,first you ask questions then i answer finally we all go home
地图,di4 tu2,map
景,jing3,circumstance/situation (c. 风景)
风景,feng1 jing3,scenery/landscape
读出来,du2 chu1 lai2,read out loud
拿出来,na2 chu1 lai2,take out/retrieve
拿出，来,na2 chu1 : lai2,take out/retrieve (item)
说出来,shuo1 chu1 lai2,say out loud
红绿灯,hong2 lv4 deng1,traffic light
街,jie1,street (c. 街道)
街道,jie1 dao4,street/residential district
马路,ma3 lu4,street/road
免,mian3,excuse/exempt/escape (c. 免费)
免费的,mian3 fei4 de,free of charge (noun)
司机,si1 ji1,chauffer/driver
时差,shi2 cha1,jet lag/time difference
博,bo2,extensive/ample/rich (c. 博物/博物馆/赌博)
博物,bo2 wu4,natural science
博物馆,bo2 wu4 guan3,museum
小心,xiao3 xin1,careful (adj)
观,guan1,watch/observe/behold (c. 参观/观光)
参观,can1 guan1,visit/tour for the purpose of learning (verb)
光,guang1,light/bright/ray (c. 观光/阳光)
观光,guan1 guang1,tour (verb)/tourism or sightseeing (noun)
活,huo2,to live/be alive (c. 活动)
活动,huo2 dong4,move about (verb)/activities (noun)
生活,sheng1 huo2,to live/livelihood/life/activity
安排,an1 pai2,plan/arrange/set up
海边,hai3 bian1,sea/seaside/shore/beach
演,yan3,develop/evolve/perform (c. 表演)
表演,biao3:2 yan3,show/performance/exhibition
邮,you2,mail/post (c. 邮局/电邮/电子邮件)
局,ju2,bureau/office (c. 邮局)
邮局,you2 ju2,post office
短信,duan3 xin4,text message/sms
电子邮件,dian4 zi3 you2 jian4,email (alt. 电邮)
电邮,dian4 you2,email (alt. 电子邮件)
回你的电话,hui2 ni3 de dian4 hua4,return your phone call
回她的电子邮件,hui2 ta1 de dian4 zi3 you2 jian4,reply to her email
回我的短信,hui2 wo3 de duan3 xin4,reply to my text message
刚才,gang1 cai2,just now/a moment ago (noun)
主,zhu3,owner/master/host (c. 主要/主任/主题)
主要,zhu3 yao4,main/major/primary
关于,guan1 yu2,about/pertaining to/concerning
密,mi4,secret/confidential (c. 密码)
密码,mi4 ma3,password
登,deng1,ascend/mount/step on (c. 登录/登山)
录,lu4,copy or record (verb)/diary or record (noun) (c. 登录/录制/录音)
录制,lu4 zhi4,record video/record audio (generic verb)
录音,lu4 yin1,record audio (verb)/audio recording (noun)
录像,lu4 xiang4,record video or videotape (verb)/video recording (noun)
登录,deng1 lu4,log in/register
信号,xin4 hao4,signal (wifi cellular etc)
段,duan4,paragraph/section/mw for stories and durations of time
实,shi2,real/true/honest/solid (c. 其实)
其实,qi2 shi2,actually/in fact
过去,guo4 qu4,past/former/previous
谈,tan2,converse/chat/talk about (informal)
升,sheng1,ascend/promote (c. 升职)
职,zhi2,office/duty (c. 升职)
升职,sheng1 zhi2,get promoted (verb)/promotion (noun)
同意,tong2 yi4,agree/approve/consent
决定,jue2 ding4,decide (verb)/decision (noun)
根,gen1,root/basis/mw for long thing items (eg cigarettes) (c. 根据)
据,ju4,according to/act in accordance with (c. 根据/收据)
根据,gen1 ju4,according to/based on
满,man3,fill (verb)/full or satisfied (adj) (c. 满意)
满意,man3 yi4,satisfied/pleased/to one's satisfaction
认为,ren4 wei2,believe based on rational analysis (stronger and more formal than 觉得)
出差,chu1 chai1,business trip/business travel
表现,biao3 xian4,display or show off (verb)/work performance or behavior (noun)
烦,fan2,annoy/bother/trouble/vex (c. 麻烦)
麻烦,ma2 fan2:,annoy or bother (verb)/annoying or bothersome (adj)
麻烦你,ma2 fan2: ni3,please/bother you (to do something)
开会,kai1 hui4,hold a meeting/attend a meeting
面试,mian4 shi4,job interview (verb and noun)
根据大家的需要，我们做了这个决定,gen1 ju4 da4 jia1 de xu1 yao4 : wo3 men zuo4 le zhe4 ge4 jue2 ding4,we made this decision based on everyone's needs
经理跟同事一起同意升职我,jing1 li3 gen1 tong2 shi4 yi1:4 qi3 tong2 yi4 sheng1 zhi2 wo3,the manager agreed with my colleagues to promote me
每次,mei3 ci4,every time/every iteration
这次,zhe4 ci4,this time/this iteration
这个时候,zhe4 ge4 shi2 hou4,at this time (moment/point) (alt. 这时)
这时,zhe4 shi2,at this time (moment/point) (alt. 这个时候)
这段时间,zhe4 duan4 shi2 jian1,during this time (duration)
那次,na4 ci4,that time/that iteration
那个时候,na4 ge4 shi2 hou4,at that time (moment/point) (alt. 那时)
那时,na4 shi2,at that time (moment/point) (alt. 那个时候)
那段时间,na4 duan4 shi2 jian1,during that time (duration)
这边,zhe4 bian1,this side/this way (when leading someone)
那边,na4 bian1,that side/that way (when directing someone)
花园,hua1 yuan2,garden
房子,fang2 zi,house
我每天学习中文两个小时,wo3:2 mei3 tian1 xue2 xi2 zhong1 wen2 liang3 ge4 xiao3 shi2,i study chinese for two hours every day
中秋节,zhong1 qiu1 jie2,mid-autumn festival (15th day of 8th lunar month)
端,duan1,end/extremity/item/port (c. 端午节/开端)
端午节,duan1 wu3 jie2,dragon boat festival (5th day of the 5th lunar month)
饼,bing3,round flat cake/cookie (c. 月饼/饼干)
月饼,yue4 bing3,mooncake
粽子,zong4 zi,sticky rice dumpling
舟,zhou1,boat (c. 龙舟)
龙舟,long2 zhou1,dragon boat/imperial boat
月亮,yue4 liang4,moon
财,cai2,money/wealth/riches (c. 发财)
发财,fa1 cai2,become rich/get rich
聚,ju4,assemble/congregate/gather/amass (c. 聚会)
聚会,ju4 hui4,party/gathering/reunion
恭,gong1,respectful (c. 恭喜)
恭喜,gong1 xi3,congratulations/greetings
恭喜发财,gong1 xi3 fa1 cai2,may you be prosperous/may you have a prosperous new year
红包,hong2 bao1,red envelope of money
划,hua2,row/paddle/cut/slash (verb) (c. 计划)
馒,man2,steamed bread (c. 馒头)
馒头,man2 tou2:,steamed bun (often without filling)
卤,lu3,stew in sauce and spices (c. 卤肉)
卤肉,lu3 rou4,stewed meat/braised pork
卤肉饭,lu3 rou4 fan4,braised pork rice
卷,juan3,roll up/roll of something/mw for small rolled things (c. 春卷)
春卷,chun1 juan3,spring roll/egg roll
豆花,dou4 hua1,tofu pudding/soft bean curd
酸,suan1,sour/tart/sore/aching (c. 酸辣汤)
汤,tang1,soup/hot water (c. 酸辣汤/汤圆)
酸辣汤,suan1 la4 tang1,hot and sour soup/sour and spicy soup
圆,yuan2,circle/round/circular (c. 汤圆/圆形)
汤圆,tang1 yuan2,glutinous rice balls
形,xing2,form/shape (c. 圆形)
圆形,yuan2 xing2,round/circular shaped
方形,fang1 xing2,square shaped
烤,kao3,roast/bake/broil (c. 烤鸭)
鸭,ya1,duck animal (c. 烤鸭)
烤鸭,kao3 ya1,roast duck (c. 北京烤鸭)
北京烤鸭,bei3 jing1 kao3 ya1,peking duck (lit. beijing roast duck)
保,bao3,defend/protect （c. 宫保鸡丁/保持/保险/保安)
保安,bao3 an1,ensure safety (verb)/security guard (noun)
丁,ding1,small cube of meat (c. 宫保鸡丁)
宫保鸡丁,gong1 bao3 ji1 ding1,kung pao chicken
奶茶,nai3 cha2,milk tea (c. 珍珠奶茶)
珍,zhen1,precious item/treasure (c. 珍珠)
珠,zhu1,bead/pearl (c. 珍珠)
珍珠,zhen1 zhu1,pearl (c. 珍珠奶茶)
珍珠奶茶,zhen1 zhu1 nai3 cha2,bubble milk tea
十二块人民币,shi2 er4 kuai4 ren2 min2 bi4,12 yuan/12 rmb
三千只大熊猫,san1 qian1 zhi1 da4 xiong2 mao1,3.000 large pandas/2.000 big pandas
六万台照相机,liu4 wan4 tai2 zhao4 xiang4 ji1,60.000 cameras
四十万间房子,si4 shi2 wan4 jian1 fang2 zi,400.000 houses
七百万杯热水,qi1 bai3 wan4 bei1 re4 shui3,7.000.000 cups of hot water
九千万瓶冰茶,jiu3 qian1 wan4 ping2 bing1 cha2,90.000.000 bottles of iced tea
两亿辆救护车,liang3 yi4 liang4 jiu4 hu4 che1,200.000.000 ambulances
十亿个中国人,shi2 yi4 ge4 zhong1 guo2 ren2,1.000.000.000 chinese people
八百亿双鞋子,ba1 bai3 yi4 shuang1 xie2 zi,80.000.000.000 pairs of shoes
囧,jiong3,light or bright (lit)/embarrassment emoji (slang)
萌,meng2,sprout (lit)/cute (slang)
粉,fen3,powder/turn into powder (c. 粉丝)
丝,si1,silk/thread (c. 粉丝)
粉丝,fen3 si1,bean vermicelli (lit)/fan or groupie (slang)
土,tu3,local/dust/clay (c. 土豪/土地)
豪,hao2,grand/heroic (c. 土豪/豪华)
土豪,tu3 hao2,local tycoon/provincial tyrant (slang)
吃货,chi1 huo4,foodie (slang)
宅,zhai2,residence/stay at home (c. 宅男/住宅)
宅男,zhai2 nan2,otaku/obsessive gamer boy (slang)
自拍,zi4 pai1,taking selfies (verb or noun)
菜鸟,cai4 niao3,beginner/newbie (slang)
眉,mei2,eyebrow (c. 美眉)
富,fu4,rich/abundant/wealthy (c. 高富帅/白富美/丰富/富有)
美眉,mei3 mei2,beautiful girl (slang)
高富帅,gao1 fu4 shuai4,mr. perfect (lit. tall rich handsome)
白富美,bai2 fu4 mei3,ms. perfect (lit. white rich beautiful)
圈,quan1,circle/loop (noun or verb)/mw for laps of race (c. 朋友圈)
朋友圈,peng2 you3: quan1,circle of friends/wechat moments feature
微,wei1,tiny/miniature/slightly (c. 微信/微博)
微信,wei1 xin4,weixin/wechat (chinese collab app)
微博,wei1 bo2,weibo/microblogging (chinese twitter)
微辣,wei1 la4,mildly spicy
微小,wei1 xiao3,tiny/minute/infinitesimal
美图,mei3 tu2,meitu (chinese photo filter app)
赞,zan4,praise/support/like on social media (c. 点赞)
点赞,dian3 zan4,upvote/like on social media
关注,guan1 zhu4,pay attention to/follow on social media (slang)
转发,zhuan3 fa1,transmit/republish/forward email or text message
好友,hao3:2 you3,close friend/social media friend (slang)
论,lun4,opinion/view/theory (c. 讨论/评论)
评,ping2,comment/criticize/judge (c. 评论)
评论,ping2 lun4,comment (verb and noun)
尽,jin3,to the greatest extent/furthest away (c. 尽快)
尽快,jin3 kuai4,as soon as possible/asap
销,xiao1,sell/spend/cancel/annul (c. 报销)
收据,shou1 ju4,receipt
费用,fei4 yong4,cost/expense
报销,bao4 xiao1,write off/apply for reimbursement/submit expense
协,xie2,cooperate/harmonize (c. 协议)
协议,xie2 yi4,agreement/protocol/pact
报告,bao4 gao4,report (verb or noun)
回复,hui2 fu4,reply/respond/recover (usually via text or phone)
合,he2,close/join/fit (c. 合同/合作/合身)
合同,he2 tong2,business contract
项,xiang4,item/thing/sum of money/mw for tasks or items (c. 项目)
项目,xiang4 mu4,work project
汇,hui4,remit/exchange (c. 汇报/词汇)
汇报,hui4 bao4,report on/give an account of
签名,qian1 ming2,sign name (verb)/signature (noun) (alt. 签字)
签字,qian1 zi4,sign name (verb)/signature (noun) (alt. 签名)
低,di1,low/beneath/let droop
资,zi1,capital/resources (c. 资本)
资本,zi1 ben3,capital
广,guang3,wide/numerous (c. 广告)
广告,guang3 gao4,advertisement/commercial
预,yu4,in advance/beforehand/to prepare (c. 预算/预报)
预算,yu4 suan4,budget
预报,yu4 bao4,forecast/predict (verb or noun)
享,xiang3,enjoy/benefit/have use of (c. 分享/享受)
分享,fen1 xiang3,share with others
享受,xiang3 shou4,to enjoy/live it up
免贵,mian3 gui4,no need for saying honorable (polite)
辛,xin1,pungent/hard/laborious/suffering (c. 辛苦)
辛苦,xin1 ku3,exhausting or arduous (adj)/hardship or suffering (noun)
辛苦您了,xin1 ku3 nin2 le,thanks for your hard work
险,xian3,danger/dangerous/rugged (c. 保险/风险)
保险,bao3:2 xian3,insure (verb)/insurance (noun)
风险,feng1 xian3,risk/hazard
冒险,mao4 xian3,take a risk (verb)/adventure (noun)
投,tou2,throw oneself into/seek refuge (c. 投资)
投资,tou2 zi1,to invest in/investment
版,ban3,edition/version (c. 版权)
权,quan2,authority/power (c. 版权)
版权,ban3 quan2,copyright
律,lv4,law (c. 律师)
律师,lv4 shi1,lawyer
咨,zi1,consult (c. 咨询)
询,xun2,ask about/inquire (c. 咨询)
咨询,zi1 xun2,consult or seek advice (verb)/consultation or sales inquiry (noun)
持,chi2,hold/grasp/maintain (c. 保持)
保持,bao3 chi2,keep/stay/maintain
联,lian2,ally/unite/join (c. 联系)
联系,lian2 xi4,connection/contact/get in touch
愉,yu2,pleased (c. 愉快)
愉快,yu2 kuai4,cheerful/delightful/pleasant
合作,he2 zuo4,cooperate/collaborate/work together
感谢,gan3 xie4,give thanks/gratitude/grateful
警,jing3,alert or warn (verb)/police (noun) (c. 报警/警察)
报警,bao4 jing3,call police/sound alarm
受,shou4,receive/accept/suffer/bear (c. 受伤)
伤,shang1,injure (verb)/injury or wound (noun) (c. 受伤/伤心)
受伤,shou4 shang1,injured/wounded/harmed (lit. suffer injury)
伤心,shang1 xin1,grieve/be deeply hurt (lit. wound heart)
伤害,shang1 hai4,injure/harm (verb)
伤口,shang1 kou3,wound/cut (noun)
救,jiu4,save/assist/rescue (c. 救护车/救命)
救护车,jiu4 hu4 che1,ambulance vehicle
命,ming4,life/fate (c. 救命)
救命,jiu4 ming4,help!/save me!/save someone's life (c. 救命)
发生,fa1 sheng1,happen/occur/take place
严,yan2,strict/stern/rigorous/critical (c. 严重)
严重,yan2 zhong4,serious/grave/severe/critical
意外,yi4 wai4,accident/mishap
察,cha2,examine/observe/inspect (c. 警察)
警察,jing3 cha2,police officer
偷,tou1,steal or pilfer (verb)/thief (noun) (c. 小偷)/stealthily (adj)
小偷,xiao3 tou1,thief
发生了什么事,fa1 sheng1 le shen2 me shi4,what happened?
没办法,mei2 ban4 fa3,nothing to be done/cannot do anything about it
别，了,bie2 : le,stop doing ... (alt. 不要，了)
别马上抽烟了,bie2 ma3 shang4 chou1 yan1 le,stop smoking at once
不要，了,bu4:2 yao4 : le,stop doing ... (alt.  别，了)
不要苦地哭了,bu4:2 yao4 ku3 de ku1 le,stop crying bitterly
可是,ke3 shi4,but/however (signals unfortunate event and less definite than 但是)
俩,lia3,both (following plural pronouns only 我们/你们/他们)
我们俩,wo3 men lia3,both of us/we both
压,ya1,press/push down (c. 压力)
压力,ya1 li4,pressure/stress
意见,yi4 jian4,opinion/idea/suggestion/objection
想法,xiang3:2 fa3,idea/way of thinking/opinion/notion
原,yuan2,former/original/cause/source (c. 原谅/原告)
谅,liang4,excuse/show understanding (c. 原谅)
原谅,yuan2 liang4,forgive/excuse/pardon
奖,jiang3,prize/award/encouragement (c. 奖金)
奖金,jiang3 jin1,bonus/award money/premium
生意,sheng1 yi4,business
加班,jia1 ban1,work overtime
工资,gong1 zi1,salary/wage/pay
责,ze2,duty/responsibility (c. 责任/负责任)
任,ren4,assign/appoint/responsibility (c. 责任/主任)
责任,ze2 ren4,duty/responsibility
负,fu4,to bear/carry on one's back/be defeated (c. 负责/负责任)
负责,fu4 ze2,be responsible/be in charge of
负责任,fu4 ze2 ren4,bear responsibility/be responsible
商量,shang1 liang4:,consult/discuss
误,wu4,delay or neglect (verb)/mistake or error (noun) (c. 误会/误点)
误会,wu4 hui4,misunderstand/mistake (verb and noun)
开端,kai1 duan1,start/beginning
大约,da4 yue1,approximate number (before verb or number)
温,wen1,warm/temperature (c. 温度)
温度,wen1 du4,temperature
几度,ji3 du4,what temperature?
暖,nuan3,warm (verb and adj) (c. 暖和)
暖和,nuan3 huo,nice and warm/pleasantly warm (also nuan3 he2)
燥,zao4,dry/parched (c. 干燥)
干燥,gan1 zao4,dry (noun or verb)/dull/arid
凉,liang2,cool (verb and adj)/let something cool down (c. 凉快)
凉快,liang2 kuai4,nice and cool/pleasantly cool
懒,lan3,lazy
鼓,gu3,drum/strike/rouse (c. 鼓励)
励,li4,encourage/urge (c. 鼓励)
鼓励,gu3 li4,encourage (verb)/encouragement (noun)
弃,qi4,reject/abandon/discard (c. 放弃)
放弃,fang4 qi4,give up/abandon/renounce
鹰,ying1,eagle/falcon/hawk (c. 猫头鹰)
猫头鹰,mao1 tou2 ying1,owl
羽,yu3,feather (c. 羽毛)
羽毛,yu3 mao2,feather/plumage/plume
橙,cheng2,orange color (c. 橙子/香橙)
橙子,cheng2 zi,orange fruit
香橙,xiang1 cheng2,orange tree/orange fruit
醒,xing3,wake up/become aware/sober up (c. 提醒/醒来)
醒来,xing3 lai2,awaken/wake up
提醒,ti2 xing3,remind to do something in the future
想起,xiang3:2 qi3,recall something from the past/recall from memory
口,kou3,mouth/mw for mouthed things (c. 门口/进口/出口)
门口,men2 kou3,doorway/gate
出口,chu1 kou3,to export (verb)/exit (noun)
进口,jin4 kou3,to import (verb)/entrance (noun) (alt. 入口)
入,ru4,enter/go into/join (c. 入口/收入)
入口,ru4 kou3,to import (verb)/entrance (noun) (alt. 进口)
差不多,cha4 bu4 duo1,about the same/more or less/good enough
